formation_id,name,tactical_type,key_pos_1,key_pos_2,key_pos_3,comment
fm_442,4-4-2,밸런스,kp_target_forward,kp_box_to_box,kp_center_back,가장 기본적인 균형형 전술. 투톱과 두 줄 수비로 안정적인 운영이 가능하다.
fm_433,4-3-3,측면 공격,kp_wing_forward_l,kp_wing_forward_r,kp_playmaker,양쪽 윙포워드와 중앙 미드필더의 전개가 핵심인 공격형 전술.
fm_4231,4-2-3-1,점유/압박,kp_trequartista,kp_anchor,kp_wing_forward_r,공격형 미드필더를 중심으로 2선에서 찬스를 만드는 현대적인 전술.
fm_3412,3-4-1-2,역습,kp_trequartista,kp_target_forward,kp_center_back,중앙 밀집과 빠른 전환에 강한 전술. 수비 안정과 한방을 노린다.
fm_352,3-5-2,중앙 장악,kp_wingback_l,kp_wingback_r,kp_box_to_box,윙백의 활동량과 중원 숫자로 경기를 지배하는 전술.
fm_343,3-4-3,공격 전개,kp_wing_forward_l,kp_wing_forward_r,kp_ball_playing_cb,후방 빌드업과 측면 공격을 결합한 공격적인 3백 전술.
fm_4141,4-1-4-1,압박,kp_anchor,kp_box_to_box,kp_wing_forward_l,중원 압박과 안정적인 수비 밸런스를 중시하는 전술.
fm_451,4-5-1,수비 안정,kp_anchor,kp_playmaker,kp_shot_stopper,중원을 두텁게 세워 실점을 줄이고 역습을 노리는 전술.
fm_4312,4-3-1-2,중앙 돌파,kp_trequartista,kp_poacher,kp_box_to_box,중앙 공격형 미드필더와 투톱 조합으로 박스 근처를 공략.
fm_41212,4-1-2-1-2,다이아몬드,kp_anchor,kp_trequartista,kp_target_forward,측면보다 중앙 조합과 연계에 집중하는 전술.
fm_532,5-3-2,철벽 수비,kp_sweeper,kp_wingback_l,kp_target_forward,5백 안정성과 투톱 역습을 노리는 수비형 전술.
fm_541,5-4-1,잠그기,kp_shot_stopper,kp_center_back,kp_wingback_r,강팀을 상대로 실점을 최소화하는 극단적 안정형 전술.
fm_3241,3-2-4-1,공격 점유,kp_false_nine,kp_playmaker,kp_ball_playing_cb,후방부터 전진 배치해 점유율과 공격 숫자를 늘리는 전술.
fm_4222,4-2-2-2,빠른 전환,kp_poacher,kp_anchor,kp_wing_forward_r,좁은 2선과 투톱으로 빠르게 박스에 진입하는 전술.
fm_424,4-2-4,총공격,kp_wing_forward_l,kp_wing_forward_r,kp_poacher,득점이 필요할 때 전방 숫자를 극대화하는 공격형 전술.
